VideoID,Description
ZbzDGXEwtGc_6_15.avi,A large jet is flying through the sky.
ZbzDGXEwtGc_6_15.avi,A passenger plane flies through the air.
ZbzDGXEwtGc_6_15.avi,A plane flies through the air.
ZbzDGXEwtGc_6_15.avi,A plane is flying in the air.
ZbzDGXEwtGc_6_15.avi,A plane is flying.
ZbzDGXEwtGc_6_15.avi,A South African Airways plane is flying in a blue sky.
ZbzDGXEwtGc_6_15.avi,An aeroplane is flying in the air.
ZbzDGXEwtGc_6_15.avi,An airplane is flying in the air.
ZbzDGXEwtGc_6_15.avi,An airplane is flying in the clear sky.
ZbzDGXEwtGc_6_15.avi,An airplane is flying in the sky.
ZbzDGXEwtGc_6_15.avi,An airplane is flying.
ZbzDGXEwtGc_6_15.avi,The plane flew in the sky.
ZbzDGXEwtGc_6_15.avi,The plane is soaring through the air.
ZbzDGXEwtGc_6_15.avi,The South African jet banked itself in the air.
ZbzDGXEwtGc_6_15.avi,The airplane is flying in air
ZbzDGXEwtGc_6_15.avi,An airplane flying.
ZbzDGXEwtGc_6_15.avi,A South African airplane flying sideways in the sky.
ZbzDGXEwtGc_6_15.avi,"the Avión, airplane is flying high in the sky."
ZbzDGXEwtGc_6_15.avi,An aeroplane flying in the sky.
ZbzDGXEwtGc_6_15.avi,An aeroplane is flying.
ZbzDGXEwtGc_6_15.avi,A flight is flying in the sky.
ZbzDGXEwtGc_6_15.avi,A South African flight is flying.
ZbzDGXEwtGc_6_15.avi,An airplane is flying with blue sky in the background.
ZbzDGXEwtGc_6_15.avi,AEROPLANE IS FLING IN MID-AIR.
ZbzDGXEwtGc_6_15.avi,South African aeroplane js moving in the air
ZbzDGXEwtGc_6_15.avi,a plane is flying in air
ZbzDGXEwtGc_6_15.avi,A commercial jet if flying
ZbzDGXEwtGc_6_15.avi,an airplane flying in the sky.
ZbzDGXEwtGc_6_15.avi,An airoplane is flying in the sky
ZbzDGXEwtGc_6_15.avi,A flight is flying.
ZbzDGXEwtGc_6_15.avi,A clip showing an south african airline plane flying in air.
ZbzDGXEwtGc_6_15.avi,A South African airplane is flying.
ZbzDGXEwtGc_6_15.avi,an airplane flying in the sky
ZbzDGXEwtGc_6_15.avi,An airplane is flying through the air.
ZbzDGXEwtGc_6_15.avi,An plane is flying in the sky.
ZbzDGXEwtGc_6_15.avi,a flying airplane
ZbzDGXEwtGc_6_15.avi,A airplane in the air
ZbzDGXEwtGc_6_15.avi,A south american plane takes a turn in air.
ZbzDGXEwtGc_6_15.avi,An avion airoplane is flying
ZbzDGXEwtGc_6_15.avi,a aeroplane is flying
ZbzDGXEwtGc_6_15.avi,A plain is fly in the sky.
ZbzDGXEwtGc_6_15.avi,Avion airplane
jbzaMtPYtl8_48_58.avi,Two men are rolling huge tires sideways down a street while spectators watch.
jbzaMtPYtl8_48_58.avi,Two men are pushing large tires.
jbzaMtPYtl8_48_58.avi,Men are flipping large tires in a race.
jbzaMtPYtl8_48_58.avi,Two men are moving tires.
jbzaMtPYtl8_48_58.avi,Men are rolling big tyre.
jbzaMtPYtl8_48_58.avi,Men are tumbling tires in a race.
jbzaMtPYtl8_48_58.avi,Two men push monstrous tires along the ground.
jbzaMtPYtl8_48_58.avi,Men are pushing large tires.
jbzaMtPYtl8_48_58.avi,Men are moving tires.
jbzaMtPYtl8_48_58.avi,Two men are flipping over oversized tires.
jbzaMtPYtl8_48_58.avi,"In a race held, each of the two men is moving a huge tire by tumbling them repeatedly on a road lined with people."
jbzaMtPYtl8_48_58.avi,Two people flipped tractor tires in a race.
jbzaMtPYtl8_48_58.avi,Two men each flip a huge tire down the pavement.
jbzaMtPYtl8_48_58.avi,The men are moving the huge tires.
jbzaMtPYtl8_48_58.avi,Two men compete in a tire rolling race.
jbzaMtPYtl8_48_58.avi,the man is lifting the weight.
jbzaMtPYtl8_48_58.avi,men are flipping tires.
jbzaMtPYtl8_48_58.avi,two strongest man playing a game with tyre
jbzaMtPYtl8_48_58.avi,Men are turning tires over.
jbzaMtPYtl8_48_58.avi,two men are rolling the big Tyre.
jbzaMtPYtl8_48_58.avi,Two men are moving tyres.
jbzaMtPYtl8_48_58.avi,A strong person pulling a big Tyre.
jbzaMtPYtl8_48_58.avi,Men are flipping large tires.
jbzaMtPYtl8_48_58.avi,Men are rolling tyres.
jbzaMtPYtl8_48_58.avi,Two men are rolling tyres.
jbzaMtPYtl8_48_58.avi,Two men race by flipping a large truck tyre.
jbzaMtPYtl8_48_58.avi,The men are rolling huge tires in a race.
jbzaMtPYtl8_48_58.avi,Two men are rolling tires.
jbzaMtPYtl8_48_58.avi,A man is lifting and pushing a tyre.
jbzaMtPYtl8_48_58.avi,Two men are flipping heavy tires.
jbzaMtPYtl8_48_58.avi,Some persons are lift the heavy tyers
jbzaMtPYtl8_48_58.avi,the person is doing the something
jbzaMtPYtl8_48_58.avi,TWO MEN ARE ROLLING HEAVY TRUCK'S TYRE.
jbzaMtPYtl8_48_58.avi,How is the strongest man.
jbzaMtPYtl8_48_58.avi,A short clip about a strongest man at Southern California  Jeff holder who is moving the tyre and prooving oneself .
g36ho6UrBz0_5_20.avi,a man playing a guitar outside his house
g36ho6UrBz0_5_20.avi,A man is playing a guitar on the patio.
g36ho6UrBz0_5_20.avi,A man is playing a guitar seated outside a restaurant.
g36ho6UrBz0_5_20.avi,A man is playing a guitar while sitting down.
g36ho6UrBz0_5_20.avi,A man is playing a guitar.
g36ho6UrBz0_5_20.avi,A man is playing an acoustic guitar outdoors.
g36ho6UrBz0_5_20.avi,A man is playing guitar.
g36ho6UrBz0_5_20.avi,A man is playing the guitar.
g36ho6UrBz0_5_20.avi,A man plays a guitar.
g36ho6UrBz0_5_20.avi,A man plays guitar.
g36ho6UrBz0_5_20.avi,A person is performing with his guitar.
g36ho6UrBz0_5_20.avi,A seated man plays guitar.
g36ho6UrBz0_5_20.avi,A sitting man is playing guitar.
g36ho6UrBz0_5_20.avi,The man is playing the guitar.
g36ho6UrBz0_5_20.avi,The man is plying his guitar on the patio.
g36ho6UrBz0_5_20.avi,The man played his guitar.
g36ho6UrBz0_5_20.avi,A man is playing an electric guitar.
g36ho6UrBz0_5_20.avi,A man is playing guitar outside of a store.
g36ho6UrBz0_5_20.avi,The man is playing music on a guitar sitting on a stool.
g36ho6UrBz0_5_20.avi,a man playing guitar
g36ho6UrBz0_5_20.avi,A man playing an instrument.
g36ho6UrBz0_5_20.avi,A man is playing  music through Fiddle
g36ho6UrBz0_5_20.avi,A man playing guitar.
g36ho6UrBz0_5_20.avi,A man playing the guitar.
g36ho6UrBz0_5_20.avi,An old man is playing guitar.
g36ho6UrBz0_5_20.avi,A man is playing a guitar outside.
g36ho6UrBz0_5_20.avi,A man is enjoying himself as he plays the guitar.
g36ho6UrBz0_5_20.avi,A person is playing guitar righ now
g36ho6UrBz0_5_20.avi,A man playing electric gutar at a party.
g36ho6UrBz0_5_20.avi,A man playing his electric guitar at a home party outside.
g36ho6UrBz0_5_20.avi,a man playing a guitar
g36ho6UrBz0_5_20.avi,A guy is playing guitar.
g36ho6UrBz0_5_20.avi,A man is happily playing guitar
g36ho6UrBz0_5_20.avi,a man is playing a guitar
g36ho6UrBz0_5_20.avi,The man played his guitar at the party.
g36ho6UrBz0_5_20.avi,A band is performing on a stage outside.
g36ho6UrBz0_5_20.avi,A man is sitting outdoors playing an electric guitar.
g36ho6UrBz0_5_20.avi,A man is playing an electric guitar outside a home.
g36ho6UrBz0_5_20.avi,He is playing guitar and not interested in any drink
g36ho6UrBz0_5_20.avi,A man plays the guitar.
g36ho6UrBz0_5_20.avi,A man is playing violin.
g36ho6UrBz0_5_20.avi,A man strummed his guitar on his patio.
04Gt01vatkk_248_265.avi,A woman cuts an oion.
04Gt01vatkk_248_265.avi,A girl is cutting an onion.
04Gt01vatkk_248_265.avi,A girl is cutting onion into small pieces.
04Gt01vatkk_248_265.avi,A girl is dicing up an onion.
04Gt01vatkk_248_265.avi,A woman chops a white onion.
04Gt01vatkk_248_265.avi,A woman cuts and dices an onion.
04Gt01vatkk_248_265.avi,A woman is chopping an onion into small pieces.
04Gt01vatkk_248_265.avi,A woman is chopping an onion slice into fine pieces.
04Gt01vatkk_248_265.avi,A woman is cutting onions.
04Gt01vatkk_248_265.avi,A woman is slicing a onion.
04Gt01vatkk_248_265.avi,A Woman is slicing some vegetables.
04Gt01vatkk_248_265.avi,A woman slices an onion.
04Gt01vatkk_248_265.avi,An onion is chopped up.
04Gt01vatkk_248_265.avi,The cook is dicing onions.
04Gt01vatkk_248_265.avi,The girl is slicing an onion.
04Gt01vatkk_248_265.avi,A woman is cutting the tomato into pieces
04Gt01vatkk_248_265.avi,A woman is slicing an onion.
04Gt01vatkk_248_265.avi,A young woman cutting an onion to make salsa.
04Gt01vatkk_248_265.avi,A girl is chopping onions.
04Gt01vatkk_248_265.avi,A girl is slicing an onion.
04Gt01vatkk_248_265.avi,A lady is chopping onions.
04Gt01vatkk_248_265.avi,A woman cuts an onion.
04Gt01vatkk_248_265.avi,A woman cutting an onion.
04Gt01vatkk_248_265.avi,A woman in a red dress chopping tomatoes.
04Gt01vatkk_248_265.avi,A woman is chopping onions.
04Gt01vatkk_248_265.avi,A woman is chopping up onions.
04Gt01vatkk_248_265.avi,A woman is cutting an onion.
04Gt01vatkk_248_265.avi,A woman is dicing an onion.
04Gt01vatkk_248_265.avi,A woman is slicing a salsa.
04Gt01vatkk_248_265.avi,A woman is slicing and chopping up an onion.
04Gt01vatkk_248_265.avi,A woman is slicing and dicing an onion
04Gt01vatkk_248_265.avi,A woman is slicing some tomatoes.
04Gt01vatkk_248_265.avi,A woman is slicing some vegetables
04Gt01vatkk_248_265.avi,A woman is slicing some vegitable.
04Gt01vatkk_248_265.avi,A woman is slicing then dicing an onion
04Gt01vatkk_248_265.avi,A woman is slicing vegetables.
04Gt01vatkk_248_265.avi,The girl sliced an onion.
04Gt01vatkk_248_265.avi,The lady is slicing onions.
04Gt01vatkk_248_265.avi,The woman is dicing an onion.
04Gt01vatkk_248_265.avi,Woman teaches on how to cook salsa.
04Gt01vatkk_248_265.avi,A lady is cutting onion with the knife.
buJ5HDCinrM_150_166.avi,A woman is putting make up on her face.
buJ5HDCinrM_150_166.avi,A woman is putting makeup on her face.
buJ5HDCinrM_150_166.avi,A woman is putting on makeup.
buJ5HDCinrM_150_166.avi,A woman is doing facial.
buJ5HDCinrM_150_166.avi,A woman is applying makeup to her face.
buJ5HDCinrM_150_166.avi,A woman is applying cosmetics to her face.
buJ5HDCinrM_150_166.avi,A woman explains how to apply makeup.
buJ5HDCinrM_150_166.avi,A woman is applying makeup.
buJ5HDCinrM_150_166.avi,A woman applies a concealer to the lower portion of her right cheek and blends it using her fingers to get a chiseled look.
buJ5HDCinrM_150_166.avi,a lady rubbing makeup on
buJ5HDCinrM_150_166.avi,The lade applied foundation.
buJ5HDCinrM_150_166.avi,A woman applies make up to her face.
buJ5HDCinrM_150_166.avi,The woman is putting on makeup.
buJ5HDCinrM_150_166.avi,A lady put foundation on her cheek.
buJ5HDCinrM_150_166.avi,A lady showing her face and putting makeup
buJ5HDCinrM_150_166.avi,A girl is standing .
buJ5HDCinrM_150_166.avi,a lady is doing make-up.
buJ5HDCinrM_150_166.avi,A woman applies makeup to her jaw line.
buJ5HDCinrM_150_166.avi,A woman demonstrates applying facial products.
buJ5HDCinrM_150_166.avi,A woman demonstrates how to put on make-up.
buJ5HDCinrM_150_166.avi,a woman telling how to do makeup to face.
buJ5HDCinrM_150_166.avi,A women showing how to makeup
buJ5HDCinrM_150_166.avi,Kim Kardashian Smokey Eyes
buJ5HDCinrM_150_166.avi,the girl is explaine the healthcare
buJ5HDCinrM_150_166.avi,woman instructing how to do makeup
buJ5HDCinrM_150_166.avi,A girl doing make up.
buJ5HDCinrM_150_166.avi,A girl illustration on applying makeup.
buJ5HDCinrM_150_166.avi,a kim kardashian mokey eyes
buJ5HDCinrM_150_166.avi,A Lady giving the beauty tips about the face.
buJ5HDCinrM_150_166.avi,a lady is doing make up on her face.
buJ5HDCinrM_150_166.avi,A lady is giving tips on how to do the make up.
buJ5HDCinrM_150_166.avi,A woman applies make-up to her face.
buJ5HDCinrM_150_166.avi,A woman demonstrates how to apply makeup.
buJ5HDCinrM_150_166.avi,A woman doing some sort of makeup on her face.
buJ5HDCinrM_150_166.avi,A woman is applying face makeup.
buJ5HDCinrM_150_166.avi,A woman is applying make up on her face.
buJ5HDCinrM_150_166.avi,A woman is applying something on her face.
buJ5HDCinrM_150_166.avi,A woman is giving makeup advice.
buJ5HDCinrM_150_166.avi,A woman is making up her face.
buJ5HDCinrM_150_166.avi,A woman is placing makeup on her face.
buJ5HDCinrM_150_166.avi,A woman is showing how to apply foundation.
buJ5HDCinrM_150_166.avi,A woman is showing makeup tips.
buJ5HDCinrM_150_166.avi,A woman shows how to create a Kim Kardasian makeover look.
buJ5HDCinrM_150_166.avi,A young woman's beautifully made-up eyes.
buJ5HDCinrM_150_166.avi,KIm kardashian makeup on face
buJ5HDCinrM_150_166.avi,The woman is applying makeup.
buJ5HDCinrM_150_166.avi,A GIRL IS TEACHING ABOUT SOMEONE.
buJ5HDCinrM_150_166.avi,A LADY IS DOING MAKE UP.
buJ5HDCinrM_150_166.avi,AN WOMEN EYES
buJ5HDCinrM_150_166.avi,the girl is giving speech
buJ5HDCinrM_150_166.avi,A lady is doing make up!
buJ5HDCinrM_150_166.avi,"This video will show you how to do a complete facial makeover, so you can look like a star in no time!"
M_TP6UTrh30_343_358.avi,A band is performing for a large crowd.
M_TP6UTrh30_343_358.avi,A band is performing out stage.
M_TP6UTrh30_343_358.avi,A band is playing for a group of people.
M_TP6UTrh30_343_358.avi,A band is playing outside.
M_TP6UTrh30_343_358.avi,A band is playing to a large crowd.
M_TP6UTrh30_343_358.avi,A band on stage is playing in front of a large crowd.
M_TP6UTrh30_343_358.avi,A band performs on a stage.
M_TP6UTrh30_343_358.avi,A band plays for a large crowd.
M_TP6UTrh30_343_358.avi,A band plays in front of a huge crowd.
M_TP6UTrh30_343_358.avi,A band plays on stage outside.
M_TP6UTrh30_343_358.avi,A rock band is performing on stage in front of a large gathering of people.
M_TP6UTrh30_343_358.avi,Men are playing music in the street.
M_TP6UTrh30_343_358.avi,People are playing music.
M_TP6UTrh30_343_358.avi,The band performed for a large outside crowd.
M_TP6UTrh30_343_358.avi,The band performed outside for a large crowd.
M_TP6UTrh30_343_358.avi,The band was playing in front of an audience.
M_TP6UTrh30_343_358.avi,the some boys are sing and dancing
M_TP6UTrh30_343_358.avi,A band plays an outdoor concert.
M_TP6UTrh30_343_358.avi,A view of a rock band.
M_TP6UTrh30_343_358.avi,A band is playing on a stage.
M_TP6UTrh30_343_358.avi,A band is playing onstage.
M_TP6UTrh30_343_358.avi,A band is performing.
M_TP6UTrh30_343_358.avi,A band is performing on stage in front of a large crowd.
M_TP6UTrh30_343_358.avi,A band performing on a stage
M_TP6UTrh30_343_358.avi,"A band is performing onstage, outside."
M_TP6UTrh30_343_358.avi,Cool band is playng on a stage outside.
M_TP6UTrh30_343_358.avi,A band is performing in frint of a huge crowd.
M_TP6UTrh30_343_358.avi,ALL PEOPLE PLAYING MUSIC INSTRUMENTS.
M_TP6UTrh30_343_358.avi,A short clip about Rock movie.
M_TP6UTrh30_343_358.avi,People are at a concert.
M_TP6UTrh30_343_358.avi,A crowd of people enjoying a musical concert
M_TP6UTrh30_343_358.avi,A short clip from the rockon showing the stars in it.
M_TP6UTrh30_343_358.avi,A musical group givinig his rock perfomance on stage.
M_TP6UTrh30_343_358.avi,peoples singing song
M_TP6UTrh30_343_358.avi,A rock band plays music on stage.
M_TP6UTrh30_343_358.avi,A band is performing outdoors surrounded by a large crowd.
M_TP6UTrh30_343_358.avi,group of boys playing instruments
M_TP6UTrh30_343_358.avi,rock the entire boys group
M_TP6UTrh30_343_358.avi,A ban is performing on stage outside.
M_TP6UTrh30_343_358.avi,A crowd dances while a rock band plays.
8mSUD7JGNO0_174_181.avi,A woman gallops on a horse.
8mSUD7JGNO0_174_181.avi,A girl is riding a horse.
8mSUD7JGNO0_174_181.avi,A girl rode a horse in the barn.
8mSUD7JGNO0_174_181.avi,A lady is riding a horse in a barn.
8mSUD7JGNO0_174_181.avi,A person is keeping their horse at a trot.
8mSUD7JGNO0_174_181.avi,A person is riding a horse along the perimeter.
8mSUD7JGNO0_174_181.avi,A woman is galloping a horse around an inside arena.
8mSUD7JGNO0_174_181.avi,A woman is riding a horse in an enlosed covered area.
8mSUD7JGNO0_174_181.avi,A woman is riding a horse.
8mSUD7JGNO0_174_181.avi,A woman is riding on a horse.
8mSUD7JGNO0_174_181.avi,The horse and rider trotted around the barn.
8mSUD7JGNO0_174_181.avi,The woman is riding a horse.
8mSUD7JGNO0_174_181.avi,a girl is riding a horse
8mSUD7JGNO0_174_181.avi,a girl is riding in the horse.
8mSUD7JGNO0_174_181.avi,A girl is sitting on the black horse.
8mSUD7JGNO0_174_181.avi,a lady riding a horse
8mSUD7JGNO0_174_181.avi,a man is rading in a horse
8mSUD7JGNO0_174_181.avi,A men walking on house
8mSUD7JGNO0_174_181.avi,A person is riding on horse
8mSUD7JGNO0_174_181.avi,Few guys are driving the horses.
8mSUD7JGNO0_174_181.avi,Fiona My best friend
8mSUD7JGNO0_174_181.avi,one lady riding on horse
8mSUD7JGNO0_174_181.avi,Someone is riding a horse.
8mSUD7JGNO0_174_181.avi,the man is riding a horse.
8mSUD7JGNO0_174_181.avi,A boy riding a horse in horse stable.
8mSUD7JGNO0_174_181.avi,A girl is riding a horse inside a barn
8mSUD7JGNO0_174_181.avi,A girl riding a horse.
8mSUD7JGNO0_174_181.avi,a girl riding with a horse
8mSUD7JGNO0_174_181.avi,A horse is driven by a woman.
8mSUD7JGNO0_174_181.avi,a lady is riding a horse.
8mSUD7JGNO0_174_181.avi,A man is jogging on the horse
8mSUD7JGNO0_174_181.avi,A man is riding on a horse.
8mSUD7JGNO0_174_181.avi,A man is riding on the horse.
8mSUD7JGNO0_174_181.avi,A man rides a horse in the barn.
8mSUD7JGNO0_174_181.avi,a man riding horse.
8mSUD7JGNO0_174_181.avi,A person is riding a horse inside a large building.
8mSUD7JGNO0_174_181.avi,A person is riding a horse.
8mSUD7JGNO0_174_181.avi,A person rides a horse in stable.
8mSUD7JGNO0_174_181.avi,A woman is riding a horse beside a wall.
8mSUD7JGNO0_174_181.avi,A woman is riding a horse in a barn.
8mSUD7JGNO0_174_181.avi,A woman is riding around on a horse.
8mSUD7JGNO0_174_181.avi,A woman rides a horse inside a barn.
8mSUD7JGNO0_174_181.avi,the person is raiding the horse
8mSUD7JGNO0_174_181.avi,A man is riding in a horse.
8mSUD7JGNO0_174_181.avi,A man practice horse riding.
8mSUD7JGNO0_174_181.avi,A young girl is riding a horse
ljGcQocjSs4_38_60.avi,A guy is shooting a gun.
ljGcQocjSs4_38_60.avi,A man fired a gun at some targets.
ljGcQocjSs4_38_60.avi,A man is firing a gun at targets.
ljGcQocjSs4_38_60.avi,A man is firing with a revolver.
ljGcQocjSs4_38_60.avi,A man is shooting a gun at a target range.
ljGcQocjSs4_38_60.avi,A man is target shooting.
ljGcQocjSs4_38_60.avi,A man picks up a gun and shoots down 5 targets.
ljGcQocjSs4_38_60.avi,A man shoots a gun at targets.
ljGcQocjSs4_38_60.avi,A man shoots a pistol at some targets.
ljGcQocjSs4_38_60.avi,A man shoots a single action revolver.
ljGcQocjSs4_38_60.avi,A man shoots targets with a pistol.
ljGcQocjSs4_38_60.avi,A person is firing a pistol at targets.
ljGcQocjSs4_38_60.avi,A person is shooting at targets with a pistol.
ljGcQocjSs4_38_60.avi,A person is shooting targets with a gun.
ljGcQocjSs4_38_60.avi,A person shoots a pistol.
ljGcQocjSs4_38_60.avi,A person shoots at and knocks down all six targets in a row.
ljGcQocjSs4_38_60.avi,Someone is shooting a gun.
ljGcQocjSs4_38_60.avi,The man is shooting a gun.
ljGcQocjSs4_38_60.avi,The man picked up his gun and fired at the targets.
ljGcQocjSs4_38_60.avi,A man is practicing to shoot.
ljGcQocjSs4_38_60.avi,the person is shoot them
ljGcQocjSs4_38_60.avi,the person practice the shooting with his gun
ljGcQocjSs4_38_60.avi,a man is taking the gun.
ljGcQocjSs4_38_60.avi,A man picks up a pistol and shoots six targets in a row.
ljGcQocjSs4_38_60.avi,The person is shooting at the targets.
ljGcQocjSs4_38_60.avi,A person is shooting a handgun at distant targets.
ljGcQocjSs4_38_60.avi,A MAN IS SHOOTING SOMEONE TARGET.
ljGcQocjSs4_38_60.avi,A man is shooting a pistol.
ljGcQocjSs4_38_60.avi,Someone is firing a handgun.
ljGcQocjSs4_38_60.avi,A man is shooting.
ljGcQocjSs4_38_60.avi,A man doing some sort of shooting practise with a colt.
ljGcQocjSs4_38_60.avi,a man aiming with a pistol
ljGcQocjSs4_38_60.avi,A man aims a gun at a target in the distance.
ljGcQocjSs4_38_60.avi,A man shot with his gun
ljGcQocjSs4_38_60.avi,a man is firing his gun
ljGcQocjSs4_38_60.avi,Taurus Gaucho Replica Colt Single Action Army
ljGcQocjSs4_38_60.avi,Someone is shooting a revolver at targets down range.
ljGcQocjSs4_38_60.avi,A man is firing a gun.
ljGcQocjSs4_38_60.avi,the gun is shooting video
ljGcQocjSs4_38_60.avi,A man target shoots.
n2NLoLNecgI_168_178.avi,A girl is playing violin.
n2NLoLNecgI_168_178.avi,A lady played her violin.
n2NLoLNecgI_168_178.avi,A woman is demonstrating as to how to play a violin.
n2NLoLNecgI_168_178.avi,A woman is playing a violin.
n2NLoLNecgI_168_178.avi,A woman is playing the violin.
n2NLoLNecgI_168_178.avi,A woman is playing violin.
n2NLoLNecgI_168_178.avi,A woman plays a violin.
n2NLoLNecgI_168_178.avi,A woman plays the violin.
n2NLoLNecgI_168_178.avi,The lady played her violin.
n2NLoLNecgI_168_178.avi,The woman is playing the violin.
n2NLoLNecgI_168_178.avi,A Women Performing Violin.
n2NLoLNecgI_168_178.avi,She is playing music
n2NLoLNecgI_168_178.avi,the women is playing violin
n2NLoLNecgI_168_178.avi,A woman is playing Benzo.
n2NLoLNecgI_168_178.avi,A lady is playing violin
n2NLoLNecgI_168_178.avi,Lesson of violin.
n2NLoLNecgI_168_178.avi,A woman is playing a piano.
n2NLoLNecgI_168_178.avi,A lady is playing the guitar.
n2NLoLNecgI_168_178.avi,A lady is playimg piano!
n2NLoLNecgI_168_178.avi,A woman giving a violin lesson about vibrato on the violin.
n2NLoLNecgI_168_178.avi,A woman is playing a violen.
n2NLoLNecgI_168_178.avi,A Lady playing violin and singing
n2NLoLNecgI_168_178.avi,a lady playing a guitar
n2NLoLNecgI_168_178.avi,A women playing gitter
n2NLoLNecgI_168_178.avi,A woman explains playing violin.
n2NLoLNecgI_168_178.avi,The lady is practising with the voilin.
n2NLoLNecgI_168_178.avi,A lady playing violin
6q1dX6thX3E_286_295.avi,A man is talking on the phone.
6q1dX6thX3E_286_295.avi,A man is talking on a phone.
6q1dX6thX3E_286_295.avi,A man is talking on a cell phone.
6q1dX6thX3E_286_295.avi,A man is talking on mobile phone.
6q1dX6thX3E_286_295.avi,A man is speaking on a telephone.
6q1dX6thX3E_286_295.avi,A man is talking on the telephone.
6q1dX6thX3E_286_295.avi,A man talks on a telephone.
6q1dX6thX3E_286_295.avi,A man speaks on a cell phone.
6q1dX6thX3E_286_295.avi,The man talked on the telephone.
6q1dX6thX3E_286_295.avi,The man is talking on the phone.
6q1dX6thX3E_286_295.avi,A man talks on the phone.
6q1dX6thX3E_286_295.avi,A mand talked on the phone.
6q1dX6thX3E_286_295.avi,the man is very happy to speak in the cell phone
6q1dX6thX3E_286_295.avi,a person taking on phone
6q1dX6thX3E_286_295.avi,THree boys is talk in office
6q1dX6thX3E_286_295.avi,a men is talking in phone
6q1dX6thX3E_286_295.avi,A man is on conversation on phone.
6q1dX6thX3E_286_295.avi,A man is talking on a mobile.
6q1dX6thX3E_286_295.avi,A lone man in a white shirt and brown tie looking unhappy.
6q1dX6thX3E_286_295.avi,a man is talking in the phone.
6q1dX6thX3E_286_295.avi,A man stands up and talks on his cellphone.
6q1dX6thX3E_286_295.avi,A man is talking on his cell phone.
6q1dX6thX3E_286_295.avi,Someone is talking on the phone.
6q1dX6thX3E_286_295.avi,A man is talking in his mobile phone.
6q1dX6thX3E_286_295.avi,A man talking to someone on telephone.
6q1dX6thX3E_286_295.avi,A man is chatting on phone
6q1dX6thX3E_286_295.avi,A man is talking on a cordless phone.
6q1dX6thX3E_286_295.avi,A man is speaking on a phone.
6q1dX6thX3E_286_295.avi,He is talking on the phone
6q1dX6thX3E_286_295.avi,the person is talking with phone
6q1dX6thX3E_286_295.avi,A MAN IS SPEAKING PHONE .
6q1dX6thX3E_286_295.avi,A man is talking in phone.
mFCf8lLXrUc_25_35.avi,A person is peeling a mango.
mFCf8lLXrUc_25_35.avi,A chef is peeling a mango.
mFCf8lLXrUc_25_35.avi,A large mango is peeled.
mFCf8lLXrUc_25_35.avi,A man peeled an avocado.
mFCf8lLXrUc_25_35.avi,A mango is being peeled.
mFCf8lLXrUc_25_35.avi,A mango is peeled.
mFCf8lLXrUc_25_35.avi,A person is peeling the skin off a mango using a knife.
mFCf8lLXrUc_25_35.avi,A person peels a mango.
mFCf8lLXrUc_25_35.avi,A woman is peeling a mango.
mFCf8lLXrUc_25_35.avi,A woman is peeling the skin of a mango using a vegetable peeler.
mFCf8lLXrUc_25_35.avi,An individual peels a mango.
mFCf8lLXrUc_25_35.avi,Someone is peeling a mango.
mFCf8lLXrUc_25_35.avi,Someone is peeling a squash.
mFCf8lLXrUc_25_35.avi,The person is peeling a mango.
mFCf8lLXrUc_25_35.avi,The person is slicing the skin off the mango.
mFCf8lLXrUc_25_35.avi,The woman is showing how to prepare mango fruits.
